fraccion_id;percentil_edad;percentil_pisos
014_22;60;50
014_23;30;80
014_24;20;80
014_25;30;70
014_26;60;80
014_27;30;90
014_28;100;90
014_29;60;100
014_3;80;100
014_30;90;80
014_31;90;100
014_4;80;80
014_5;50;80
014_6;30;90
014_7;20;70
014_8;20;80
014_9;70;100
015_1;80;40
015_10;90;80
015_11;70;50
015_12;20;50
015_13;20;60
015_14;60;70
015_15;50;50
015_16;60;70
015_17;80;80
015_18;50;80
015_19;70;90
015_2;40;20
015_20;50;80
015_21;40;90
015_3;100;80
015_4;80;50
015_5;100;40
015_6;10;30
015_7;90;20
015_8;50;30
015_9;10;20
