external_id,long,lat,status,tiempo_sin_luz,fraccion_id
CityTouch-173,-58.465292060000003,-34.609415480000003,1,0,011_21
CityTouch-174,-58.465521670000001,-34.609670000000001,1,0,011_20
CityTouch-175,-58.465651659999999,-34.609879319999997,1,0,011_20
CityTouch-176,-58.465818050000003,-34.610056020000002,1,0,011_20
CityTouch-177,-58.466054210000003,-34.610290139999996,1,0,011_20
CityTouch-178,-58.466301100000003,-34.610369660000003,1,0,011_20
CityTouch-179,-58.462531390000002,-34.607322879999998,1,0,006_1
CityTouch-180,-58.462279260000003,-34.607146270000001,1,0,006_1
CityTouch-181,-58.462036959999999,-34.606984750000002,1,0,006_1
CityTouch-182,-58.461819700000000,-34.606821380000000,1,0,006_1
CityTouch-183,-58.461621219999998,-34.606704379999996,1,0,006_1
CityTouch-184,-58.461369619999999,-34.606527499999999,1,0,006_1
CityTouch-185,-58.461101399999997,-34.606370759999997,1,0,006_1
CityTouch-186,-58.460858930000001,-34.606193540000000,1,0,006_1
CityTouch-187,-58.460571930000000,-34.606025750000001,1,0,006_1
CityTouch-188,-58.460274210000001,-34.605789530000003,1,0,006_1
CityTouch-189,-58.460062309999998,-34.605621749999997,1,0,006_1
CityTouch-190,-58.459891669999998,-34.605460000000001,1,0,011_21
CityTouch-191,-58.459668030000003,-34.605250859999998,1,0,011_21
CityTouch-192,-58.459488319999998,-34.605133850000001,1,0,011_21
CityTouch-193,-58.459225470000000,-34.604990350000001,1,0,011_21
CityTouch-194,-58.458978700000003,-34.604824780000001,1,0,011_21
CityTouch-196,-58.458687619999999,-34.604489350000001,1,0,011_21
CityTouch-197,-58.466195399999997,-34.610501650000003,1,0,011_22
CityTouch-198,-58.465959359999999,-34.610411139999997,1,0,011_22
CityTouch-199,-58.465667000000003,-34.610121950000000,1,0,011_20
CityTouch-200,-58.465476559999999,-34.609923270000003,1,0,011_20
CityTouch-201,-58.465355860000003,-34.609757700000003,1,0,011_20
CityTouch-202,-58.465127879999997,-34.609521489999999,1,0,011_21
CityTouch-203,-58.464965569999997,-34.609329639999999,1,0,011_21
